label,save_requests,stored_revisions,verloren,save_request_pages,stored_revision_pages
OAIResearchApr08,4,4,0,1,1
OAIOct28Y,6,6,0,5,5
LFRelayDec10A3,1,1,0,1,1
LFRelaySep03A2,1,1,0,1,1
LFRelaySep30A6,1,1,0,1,1
LFResearchHelperMay03,1,1,0,1,1
Nov26R6Poll,1,1,0,1,1
CensusIndustryResearcher,1,1,0,1,1
LanguageWatcherDec03X,1,1,0,1,1
[Person11],2,2,0,2,2
BridgeEditorAgain54,1,1,0,1,1
BridgeEditorAgain11,2,2,0,2,2
BridgeEditor,4,4,0,4,4
LongBotNamed,1,1,0,1,1
ArchiveResearchUserMineQ928AB,1,1,0,1,1
ArchiveResearchJan23,1,1,0,1,1
ArchiveResearchHelperZero,3,3,0,3,3
ArchiveResearchHelperZA,1,1,0,1,1
LinkNested,2,2,0,2,2
MCV2Nov30Scout,1,1,0,1,1
ArchiveScoutFeb16,1,1,0,1,1
LinkHelperABC,2,2,0,2,2
ArchiveSFNIIResearcher,1,1,0,1,1
ArchiveResearcherZZYX,1,1,0,1,1
ArchiveResearcher3,1,1,0,1,1
ArchiveWorkerReferenceQQ9,2,2,0,2,2
LinkHelperXYZ,2,2,0,2,2
ArchiveViewerOct20X,2,2,0,1,1
ArchiveScoutNov11,2,2,0,2,2
OpenAIResearchSepTwenty,1,1,0,1,1
DataAgentOccLinksZZ,1,1,0,1,1
DataBridge845664,1,1,0,1,1
OpenAIResearchde6d05,2,2,0,2,2
OpenAIResearcha7e19f,1,1,0,1,1
CountyHelperNineNineEight,1,1,0,1,1
OpenAIResearchTestNameCamel,2,2,0,2,2
OpenAIResearchMar02,2,2,0,1,1
CountyResearchBridge,5,5,0,5,5
ArchivalHelper,5,5,0,3,3
OpenAIResearchMay13X7B,1,1,0,1,1
CooksHelperAppendZ,1,1,0,1,1
CooksResearch202503,1,1,0,1,1
AgentSecWWWX,2,2,0,2,2
CooksResearchHelperX,1,1,0,1,1
CooksResearchUser77,1,1,0,1,1
CooksResearcher,1,1,0,1,1
AgentResearchX12345,1,1,0,1,1
DataPrepHelperApr7,2,2,0,1,2
OpenAIResearchMay2027,3,3,0,2,2
AgentResearchHelper64977,1,1,0,1,1
AgentResearchHelper2,1,1,0,1,1
AgentResearchNov6X,2,2,0,2,2
AgentResearchNameJune,1,1,0,1,1
AgentResearchMay24,5,5,0,2,2
AgentResearchMass2026,1,1,0,1,1
AgentResearchSep13Y,5,5,0,5,5
AgentResearchSandboxXY,1,1,0,1,1
AgentResearchRefresh,1,1,0,1,1
OpenAIResearchTempX,3,3,0,3,1
OpenAIResearcherJun27Q,1,1,0,1,1
OpenAIResearcherJun,2,2,0,2,2
GroceryPrepAgentMay15,5,5,0,3,3
OpenAIResearcherJul03X,1,1,0,1,1
GroceryPrepAgentSep21,12,12,0,7,7
GroceryProbeJul09,12,12,0,9,9
OpenAIResearchSep13X,4,4,0,4,4
GroceryAgentSep24Z5776,1,1,0,1,1
GroceryCoordinatorMar19,1,1,0,1,1
OpenAIResearcherEDOZFdOL,1,1,0,1,1
AgentSep08Current,5,5,0,4,4
AgentSep01SectorOAI,1,1,0,1,1
OpenAIResearchNov01X,4,4,0,3,3
OpenAIResearchMay24,1,1,0,1,1
OpenAIResearchMay21,5,5,0,5,5
OpenAIResearchOct10,1,1,0,1,1
OpenAIResearchOct03X,1,1,0,1,1
DataPrepAgent7963,1,1,0,1,1
OpenAIResearchNova,1,1,0,1,1
DataQueryTest,1,1,0,1,1
OpenAIResearchHelper725939,1,1,0,1,1
OpenAIResearchHelper574633,1,1,0,1,1
OpenAIResearchHelper507215,1,1,0,1,1
OpenAIResearchFeb20X,1,1,0,1,1
OpenAIResearchFeb19_827081,1,1,0,1,1
OpenAIResearchFeb19_825209,1,1,0,1,1
OpenAIResearchJan021781882176,1,1,0,1,1
OpenAIResearchJan021781881386,1,1,0,1,1
OpenAIResearchJan021781880878,1,1,0,1,1
OpenAIResearchNov24X,8,8,0,6,6
DataReaderTest777,2,2,0,1,1
AgentResearcherZ2,1,1,0,1,1
AgentResearcherY,1,1,0,1,1
AgentResearcherXYZ2,2,2,0,2,2
DataReadingTestAgentQ93214,2,2,0,2,2
AgentResearcherSCLinkTestDD45,2,2,0,2,2
DataRefAgentUnique,1,1,0,1,1
DataRefHelperZZ11795,1,1,0,1,1
AgentTemp22,1,1,0,1,1
AgentSep08WV,3,3,0,2,2
DataPrepAgent2863,1,1,0,1,1
DataPrepAgent4969,1,1,0,1,1
DataPrepAgent5705,1,1,0,1,1
AgentSecAppend,4,4,0,4,4
AgentSECHelperNew,1,1,0,1,1
AgentSecMyEditor888,1,1,0,1,1
DataPrepAgent6602,1,1,0,1,1
AgentSecHelperZ,2,2,0,2,2
AgentSecDirectWriter999,4,4,0,4,4
DataRefHelperZZ25591,3,3,0,3,3
OpenAIResearcherMA,4,4,0,4,4
OpenAIResearcherJun27X,6,6,0,5,5
OpenAIResearcherSep21,3,3,0,3,3
OpenAIResearcherP,1,1,0,1,1
OpenAIResearcherOct25,4,4,0,2,2
OpenAIResearcherOct20,2,2,0,2,2
OpenAIResearchff3bf8,1,1,0,1,1
OpenAIResearchfce603,1,1,0,1,1
OpenAIResearchf9f9ad,1,1,0,1,1
AgentResearchHelper69435,1,1,0,1,1
AgentResearchPovertyJun22X,1,1,0,1,1
GroupUpdate728,6,6,0,6,6
AgentReg808296010,1,1,0,1,1
AgentReg662703784,1,1,0,1,1
AgentReg566660588,2,2,0,2,2
AgentReg4815939,1,1,0,1,1
AgentReg340511001,3,3,0,3,3
AgentRegCFX4381869,1,1,0,1,1
AgentReg982314071,1,1,0,1,1
AgentResearchRawXQ929,2,2,0,2,2
OpenCiteResearcher,2,2,0,2,2
OpenAIThread42e0Apr21,1,1,0,1,1
OpenAISpeechMar09,4,4,0,3,3
OpenAISep30Researcher,5,5,0,5,5
OpenAIThreadMar06Fast,2,2,0,2,2
OpenAIThread4ffeaMay17,6,6,0,6,6
GoogleMaker,2,2,0,2,2
GroceryAgentApr10OAI,1,1,0,1,1
OpenAIThread42e0Live,1,1,0,1,1
GroupUpdate253,2,2,0,2,2
OpenAIUEFAOct18Agent,17,17,0,4,4
OpenAIUEFAMar21Agent,4,4,0,3,3
GroceryAgentAug03X,3,3,0,3,3
GroceryAgentAug29X,3,3,0,2,2
OpenAITransportAug25,1,1,0,1,1
OpenAITransportAug19,2,2,0,2,2
OpenAIWatcherAug22,2,2,0,2,2
OpenAIUniversalPrep,1,1,0,1,1
OpenAIUEFAResearchSep17,2,2,0,1,1
GroceryAgentApr14Z,2,2,0,2,2
OpenAIResearcherAug09,5,5,0,4,4
OpenAIResearcherAug08,13,13,0,5,5
OpenAIResearcherAug07,1,1,0,1,1
GrocerySprintFeb23,1,1,0,1,1
GrocerySprintMar26,1,1,0,1,1
OpenAIResearcherFeb24X,3,3,0,3,3
AgentRetry525394,2,2,0,2,2
AgentRetry143,1,1,0,1,1
AgentResearcherZQX,1,1,0,1,1
AgentReg92581403,3,3,0,3,3
AgentResearchHelper1781714813,1,1,0,1,1
AgentResearchHelper1781714687,1,1,0,1,1
AgentResearchHelper1781714643,1,1,0,1,1
AgentResearchHelper1781714566,1,1,0,1,1
AgentResearchHelper12510,1,1,0,1,1
AgentResearchHelper05026,1,1,0,1,1
AgentResearchJune,1,1,0,1,1
AgentResearchJuly25X,1,1,0,1,1
AgentResearchHelperX,2,2,0,2,2
AgentResearchHelper1781714868,1,1,0,1,1
AgentReg89486753,1,1,0,1,1
AgentReg887540785,1,1,0,1,1
AgentResearch9130,1,1,0,1,1
AgentResearch4089,2,2,0,2,2
GuestAgent,1,1,0,1,1
AgentResearch1781871142,1,1,0,1,1
AgentResC1779978638,1,1,0,1,1
AgentResearchFoo,2,2,0,2,2
AgentResearchClark998,1,1,0,1,1
OpenAIResearcherAug28Y1781638448,1,1,0,1,1
GuestResearch158467,1,1,0,1,1
OpenAISecResearch007,1,1,0,1,1
OpenAISecMapFractal618,1,1,0,1,1
OpenAIResearcherApr03,1,1,0,1,1
OpenAIResearcher98765,1,1,0,1,1
OpenAIResearcher987,2,2,0,2,2
OpenAIResearcher1781636,2,2,0,2,2
OpenAIResearcherCamelNew1781808467,1,1,0,1,1
OpenAIResearcherAugX638592,1,1,0,1,1
OpenAISep25StateAgent,1,1,0,1,1
DataBridgeMayTen,1,1,0,1,1
OpenAINov24ClothingX,2,2,0,1,1
OpenAINov23Police,1,1,0,1,1
DataExplorer,3,3,0,3,3
OpenAIJul26Construction,1,1,0,1,1
OpenAIJul21CVD,3,3,0,3,3
OpenAIJun11Cohort,1,1,0,1,1
OpenAIJun07Agent,2,2,0,2,2
OpenAIJulSignalBeta,1,1,0,1,1
OpenAIResearchJan021781880284,1,1,0,1,1
OpenAIJun24Research,4,4,0,1,1
OpenAIJun23Helper,2,2,0,1,1
OpenAIJun20SlowWatcher,1,1,0,1,1
DataAfricaEndpointScoutFeb21,1,1,0,1,1
OpenAIMar10CVD,3,3,0,1,1
OpenAIMar07A3,4,4,0,4,4
DataAgent,1,1,0,1,1
OpenAIMar02OECDScout,2,2,0,1,1
GuestResearch187991,1,1,0,1,1
DataHelper13535,2,2,0,2,2
OpenAIMar24EarlyFPScout,1,1,0,1,1
OpenAIMar19B8DC,3,3,0,2,2
CookYearAgent,6,6,0,6,6
CookYr178209667763303,2,2,0,2,2
OpenAIMay09Police,13,13,0,7,7
CookResearchBridgeX9,4,4,0,3,3
OpenAINov09Police,3,3,0,1,1
OpenAIMay19CVD,3,3,0,2,2
CookResearchHelperXYZ,1,1,0,1,1
AgentUserSelf963,1,1,0,1,1
AgentUltraSearchCreatorZZ,1,1,0,1,1
AgentUltraFreshSlash777X,1,1,0,1,1
AgentTuitionX,1,1,0,1,1
CookResearchAgent7749,1,1,0,1,1
AgentUnique99981,1,1,0,1,1
AgentUnique1781636626,3,3,0,3,3
AgentValuesHelper588,1,1,0,1,1
AgentValidXYZ,1,1,0,1,1
CookResearchAgentXYZ,1,1,0,1,1
AgentZZAppend,1,1,0,1,1
HelperDEF,1,1,0,1,1
AgentXXX,2,2,0,2,2
AgentXUnique314159265,2,2,0,2,2
HelperMassQuery,1,1,0,1,1
AgentZ57707,1,1,0,1,1
HelperMassRef35425,1,1,0,1,1
AgentZeroEightScholar,1,1,0,1,1
OpenAIJul09ConstructionAgent,1,1,0,1,1
HelperBot928,1,1,0,1,1
GuestResearch204762,1,1,0,1,1
CookHelper1782095662,1,1,0,1,1
OpenAIHelperMarTen,2,2,0,2,2
OpenAIHelperSep25Z97235,1,1,0,1,1
OpenAIHelperNov26X,1,1,0,1,1
OpenAIIvyFeb22Helper,9,9,0,6,6
OpenAIHelperXYZ,5,5,0,3,3
ConstructionCoordMar08,1,1,0,1,1
ArchiveAgentZeroWindow10,1,1,0,1,1
ConstructionHelperSep11,1,1,0,1,1
OpenAIHelperNov22X,1,1,0,1,1
GuestResearch260921,1,1,0,1,1
GuestResearch267932,1,1,0,1,1
GuestResearch311047,1,1,0,1,1
OpenAIJan08Runner,4,4,0,3,3
OpenAIJan29ClothingX,2,2,0,1,1
OpenAIJan27AsianScout,1,1,0,1,1
OpenAIJan24,1,1,0,1,1
OpenAIJan21ConstructionX,2,2,0,2,2
OpenAIJul05Police,1,1,0,1,1
AgentXyzName,1,1,0,1,1
OpenAIJul13Research,1,1,0,1,1
Apr09OECDScout,1,1,0,1,1
Apr09GETScout57c2b,1,1,0,1,1
Apr06OECDScout,7,7,0,2,2
HelperMassRef82568,5,5,0,4,5
AgentXScout19090,2,2,0,2,2
AgentXScout,2,2,0,1,2
AgentX62906,2,2,0,2,2
AgentX15,4,4,0,4,4
OpenAIJan30Researcher,4,4,0,4,4
GuestResearch802975,1,1,0,1,1
OpenAIResearchAug,6,6,0,5,5
OpenAIResearchDec21Unique,1,1,0,1,1
OpenAIResearchDec17X,1,1,0,1,1
OpenAIResearchDataUSA,3,3,0,3,3
OpenAIResearchAug5X,1,1,0,1,1
AgentTryBar,2,2,0,2,2
AgentSlashPretty777,3,3,0,3,3
AgentSix,1,1,0,1,1
OpenAIMar30OccupationWatcher,1,1,0,1,1
AgentSolverX,1,1,0,1,1
AgentSolverTX,3,3,0,2,2
GuestResearch816373,1,1,0,1,1
GuestResearch496515,1,1,0,1,1
AgentTXHelper,3,3,0,3,3
AgentTBsupport,1,1,0,1,1
AgentTBhelper713,1,1,0,1,1
GuestResearch55254,4,4,0,4,4
GuestResearch567339,1,1,0,1,1
AgentSimpleForce,1,1,0,1,1
OpenAIResearchJul11,5,5,0,5,5
GroceryFastMar19A348288,1,1,0,1,1
OpenAIResearchJan08,1,1,0,1,1
OpenAIResearchJan021781883584,1,1,0,1,1
OpenAIResearchJan021781883427,1,1,0,1,1
OpenAIResearchJan021781883377,1,1,0,1,1
OpenAIResearchJan021781883021,1,1,0,1,1
OpenAIResearchJun24,2,2,0,2,2
OpenAIResearchJun19,2,2,0,2,2
OpenAIResearchAug14,1,1,0,1,1
OpenAIResearchJul25Prod,1,1,0,1,1
OpenAIResearchJul16X,1,1,0,1,1
OpenAIResearchJul11X,5,5,0,5,5
OpenAIResearchApr22,1,1,0,1,1
GroceryHelperJunTwo,4,4,0,3,3
GuestResearch787510,1,1,0,1,1
OpenAIResearchApr13,3,3,0,1,1
OpenAIResearchAug19X,1,1,0,1,1
OpenAIResearchAug14X,3,3,0,2,2
OpenAIResearchJul28,1,1,0,1,1
AgentTestUser,1,1,0,1,1
AgentTestUniqueABC,1,1,0,1,1
GuestResearch346034,1,1,0,1,1
GuestResearch360499,1,1,0,1,1
GuestResearch395432,1,1,0,1,1
AgentTestFooBar,1,1,0,1,1
GuestResearch424613,2,2,0,2,2
AgentTester123,1,1,0,1,1
AgentTmp9004143,1,1,0,1,1
AgentTestFoo178,1,1,0,1,1
GuestResearch158755,2,2,0,1,1
AgentTexasResearchX,2,2,0,2,2
AgentTexasPovertyJune22Research,1,1,0,1,1
AgentTryMcNine,1,1,0,1,1
GuestResearch187456,1,1,0,1,1
CookResearcher546,1,1,0,1,1
OpenAIResearchAgentSeven,1,1,0,1,1
OpenAIResearchAgentMay27,1,1,0,1,1
OpenAIResearch4d7048,1,1,0,1,1
AgentThreeResearch,1,1,0,1,1
GuestResearch737158,5,5,0,5,5
OpenAIResearchFeb19_619948,1,1,0,1,1
OpenAIResearchFeb19_298953,1,1,0,1,1
OpenAIResearchFeb12,1,1,0,1,1
GuestResearch756244,1,1,0,1,1
OpenAIResearchDec31X,3,3,0,1,1
OpenAIResearchDec24X,4,4,0,3,3
OpenAIOct11StateScout,4,4,0,2,2
OpenAIOct10Cashier,2,2,0,2,2
AgentWebResearch,1,1,0,1,1
OpenAIProbeOct12,1,1,0,1,1
OpenAIPolandNeed,1,1,0,1,1
OpenAIOct30Fast,5,5,0,2,2
OpenAIOct29CVDLive,1,1,0,1,1
OpenAIResearch1781711243,2,2,0,2,2
OpenAIResearch1781636085,1,1,0,1,1
OpenAIResearch1781636031,1,1,0,1,1
OpenAIResearch1781636008,2,2,0,2,2
OpenAIRecon24680,2,2,0,2,2
AgentWikiPrototype1781163284,1,1,0,1,1
OpenAIOECDNov27,3,3,0,2,2
Agent13Short,14,15,-1,14,15
SourceHelper1819273,0,1,-1,0,1
TempleResearchHelperNew,0,1,-1,0,1
StateLookupPersistent,3,4,-1,1,4
SourceHelper7301019,0,1,-1,0,1
ResearchUserCTX693,0,1,-1,0,1
ResearchUserCTX719,0,1,-1,0,1
ResearchHelperStatusX1782117985,0,1,-1,0,1
ResearcherTesting,0,1,-1,0,1
ResearchHelperTest992,1,2,-1,1,2
ResearchHelperNacoJun22,0,1,-1,0,1
ResearchHelperZZZ,3,4,-1,3,4
ResearchHelperXyzGamma,0,1,-1,0,1
ResearchBotZ,0,1,-1,0,1
TestAgent111,0,1,-1,0,1
ResearchHelper075,0,1,-1,0,1
ResearchHelperApr7,0,1,-1,0,1
ResearchHelper572,0,1,-1,0,1
ResearchHelper697,0,1,-1,0,1
ResearchCitations,0,1,-1,0,1
ResearchBridgeUserJuneX,4,5,-1,4,5
OpenAIProbeX,0,1,-1,0,1
OpenAIResearchHelperXQ,7,8,-1,5,5
OpenAIResearcher20260501,0,1,-1,0,1
OpenAITestXYZ,0,1,-1,0,1
QuarterDocLinks,0,1,-1,0,1
PublicDataAnalyst4,0,1,-1,0,1
RegResearchAgent,1,2,-1,1,2
RefAuthor651,0,1,-1,0,1
AgentAnotherXYZ8877,1,2,-1,1,1
AgentCarl404,0,1,-1,0,1
AgentAPIxPUMS774,0,1,-1,0,1
AgentAnotherTestMM,1,2,-1,1,2
A1Now138606,0,1,-1,0,1
AgentCitationPumsZZ4,0,1,-1,0,1
AgentFoo125409,0,1,-1,0,1
AgentJSLink12,2,3,-1,2,3
OAIJul26Researcher,0,1,-1,0,1
OpenAIMay23Cloth,0,1,-1,0,1
OpenAIJan07,0,1,-1,0,1
OpenAIApr15Watcher,19,20,-1,16,17
HelperDataZ,0,1,-1,0,1
LinkJQHelp,0,1,-1,0,1
OAIHelperJune,3,4,-1,3,4
OAIResearchJun22,0,1,-1,0,1
DataResearcher97888,0,1,-1,0,1
TmpLinkResearchZZ,0,1,-1,0,1
FederalAgent,0,1,-1,0,1
FedAnalystHelper,6,7,-1,4,5
GuestAA,0,1,-1,0,1
GroceryResearchApr7,0,1,-1,0,1
AgentCorrectCookie,0,1,-1,0,1
AgentMass007,0,1,-1,0,1
ArchiveHelperResearchZZY,3,4,-1,3,4
ArchiveReaderA4_ityLiveApr24,0,1,-1,0,1
AgentReg169840843,1,2,-1,1,2
AgentTryX,1,2,-1,1,1
ChatRef18913,0,1,-1,0,1
CatalogResearchHelper711,1,2,-1,1,2
DataHelperBaz,0,1,-1,0,1
DataResearchHelperX2,0,1,-1,0,1
AgentEconMemVarA928,1,2,-1,1,2
AgentFooBar,3,4,-1,3,4
AgentFmt146609906,0,1,-1,0,1
AgentCoolerValueCiteFin2026,0,1,-1,0,1
ResearchHelper3,1,3,-2,1,2
WikiAgentMN0,0,2,-2,0,2
ResearchDataHelper,0,2,-2,0,2
TestUserABC,0,2,-2,0,2
AgentMassCitations,7,9,-2,6,9
DataResearcherAlpha,0,2,-2,0,1
ArchiveHelperZeroOfficial,0,2,-2,0,1
ResearchBotQ,0,2,-2,0,1
OpenAIResearchJulX,1,3,-2,1,3
OpenAIJoe88,2,4,-2,2,4
Oct22OECDHelper,0,2,-2,0,2
DataUserXYZ,0,2,-2,0,2
MarketHelperXy,0,2,-2,0,2
BridgeHelperNow,0,2,-2,0,2
Agent007,0,3,-3,0,3
BridgeUserAI,0,3,-3,0,2
AtlasResearchHelperOne,5,8,-3,5,7
DataRefUser,0,3,-3,0,2
FooUserTrial9,1,4,-3,1,4
OpenAIAug02FPScoutB,0,3,-3,0,3
DataDownloadResearcher,0,3,-3,0,2
ResearchHelperAgent,1,5,-4,1,2
DataResearcherQ2,0,4,-4,0,3
JQFinalHelper51,1,5,-4,1,5
TrialResearch,0,5,-5,0,3
AgentOurHelperXYZ991,1,7,-6,1,5
A,15,32,-17,3,11
Agent,4,33,-29,1,9
